date,AAPL,AMD,COIN,NVDA
2025-06-02,195.0,155.0,245.0,880.0
2025-06-03,195.04,155.02,245.27,880.45
2025-06-04,195.07,155.08,245.28,880.52
2025-06-05,195.15,155.02,245.03,880.18
2025-06-06,195.14,155.03,244.92,879.67
2025-06-09,195.3,155.15,245.12,880.11
2025-06-10,195.32,155.17,245.0,880.24
2025-06-11,195.34,155.17,244.93,880.7
2025-06-12,195.4,155.15,245.07,880.43
2025-06-13,195.48,155.09,244.87,880.31
2025-06-16,195.59,155.19,245.0,880.86
2025-06-17,195.55,155.11,244.85,880.63
2025-06-18,195.63,155.07,244.91,880.54
2025-06-19,195.64,155.12,245.11,881.02
2025-06-20,195.64,155.1,245.15,881.18
2025-06-23,195.67,155.11,245.03,880.82
2025-06-24,195.79,155.29,245.24,882.06
2025-06-25,195.88,155.32,245.37,882.8
2025-06-26,195.94,155.47,245.17,883.53
2025-06-27,196.01,155.51,245.25,883.22
2025-06-30,196.06,155.57,245.54,883.45
2025-07-01,196.06,155.54,245.66,883.43
2025-07-02,196.08,155.59,245.74,883.91
2025-07-03,196.09,155.58,245.69,883.39
2025-07-04,196.17,155.66,245.81,883.8
2025-07-07,196.13,155.6,245.7,883.15
2025-07-08,196.18,155.67,246.05,883.63
2025-07-09,196.26,155.73,245.88,883.89
2025-07-10,196.32,155.94,246.07,884.88
2025-07-11,196.38,155.91,246.24,885.15
2025-07-14,196.5,155.95,246.53,885.23
2025-07-15,196.6,156.17,246.64,886.08
2025-07-16,196.67,156.19,246.48,886.22
2025-07-17,196.66,156.21,246.37,886.57
2025-07-18,196.67,156.19,246.48,886.15
2025-07-21,196.75,156.34,246.42,886.81
2025-07-22,196.83,156.46,246.39,886.95
2025-07-23,196.93,156.56,246.57,887.65
2025-07-24,196.94,156.58,246.65,887.53
2025-07-25,197.13,156.77,246.74,888.84
2025-07-28,197.12,156.81,246.95,888.75
2025-07-29,197.25,156.94,247.25,890.14
2025-07-30,197.29,156.93,247.14,889.86
2025-07-31,197.35,157.0,247.27,890.46
2025-08-01,197.41,157.14,247.39,891.88
2025-08-04,197.52,157.17,247.32,892.3
2025-08-05,197.57,157.25,247.49,892.68
2025-08-06,197.57,157.15,247.35,892.46
2025-08-07,197.65,157.13,247.4,892.66
2025-08-08,197.65,157.14,247.42,892.29
2025-08-11,197.74,157.25,247.72,893.24
2025-08-12,197.7,157.16,247.71,892.9
2025-08-13,197.8,157.49,248.13,894.72
2025-08-14,197.93,157.64,248.28,895.78
2025-08-15,197.94,157.63,248.21,895.68
2025-08-18,198.17,157.7,248.48,896.07
2025-08-19,198.2,157.79,248.59,896.13
2025-08-20,198.21,157.84,248.55,896.31
2025-08-21,198.27,157.85,248.9,896.78
2025-08-22,198.19,157.79,248.73,896.47
2025-08-25,198.19,157.79,248.81,896.68
2025-08-26,198.17,157.75,248.71,896.16
2025-08-27,198.36,157.93,248.78,897.49
2025-08-28,198.57,158.18,248.88,898.71
2025-08-29,198.72,158.26,249.09,899.62
2025-09-01,198.72,158.25,248.63,899.01
2025-09-02,198.76,158.2,248.85,898.57
2025-09-03,198.79,158.23,249.11,898.38
2025-09-04,198.93,158.35,249.15,899.25
2025-09-05,199.01,158.37,249.23,899.37
2025-09-08,199.08,158.47,249.58,899.62
2025-09-09,199.29,158.52,249.71,900.5
2025-09-10,199.37,158.55,249.75,900.6
2025-09-11,199.39,158.62,249.88,900.68
2025-09-12,199.52,158.75,250.17,901.67
2025-09-15,199.52,158.71,250.26,901.7
2025-09-16,199.58,158.77,250.53,901.92
2025-09-17,199.68,158.84,250.62,902.71
2025-09-18,199.8,158.99,251.0,903.65
2025-09-19,199.91,159.06,251.17,904.14
2025-09-22,199.98,159.16,251.18,905.19
2025-09-23,199.97,159.07,251.28,905.06
2025-09-24,200.08,159.2,251.45,905.52
2025-09-25,200.15,159.21,251.64,905.7
2025-09-26,200.15,159.19,251.69,905.42
2025-09-29,200.15,159.21,251.75,905.29
2025-09-30,200.18,159.25,251.6,904.94
2025-10-01,200.19,159.24,251.65,905.33
2025-10-02,200.31,159.33,251.79,905.66
2025-10-03,200.37,159.36,251.9,905.66
